Asset,Date,Count visitation
Baldivis,1/01/2021,11878
Baldivis,2/01/2021,7962
Baldivis,3/01/2021,12918
Baldivis,4/01/2021,12796
Baldivis,5/01/2021,13321
Baldivis,6/01/2021,13907
Baldivis,7/01/2021,13322
Baldivis,8/01/2021,11782
Baldivis,9/01/2021,7963
Baldivis,10/01/2021,12460
Baldivis,11/01/2021,11855
Baldivis,12/01/2021,12383
Baldivis,13/01/2021,13636
Baldivis,14/01/2021,13321
Baldivis,15/01/2021,12029
Baldivis,16/01/2021,7447
Baldivis,17/01/2021,12585
Baldivis,18/01/2021,11970
Baldivis,19/01/2021,12890
Baldivis,20/01/2021,13516
Baldivis,21/01/2021,12933
Baldivis,22/01/2021,11695
Baldivis,23/01/2021,7372
Baldivis,24/01/2021,14021
Baldivis,25/01/2021,7580
Baldivis,26/01/2021,12401
Baldivis,27/01/2021,14076
Baldivis,28/01/2021,13489
Baldivis,29/01/2021,12890
Baldivis,30/01/2021,11734
Baldivis,31/01/2021,7884
Baldivis,1/02/2021,7412
Baldivis,2/02/2021,7700
Baldivis,3/02/2021,8380
Baldivis,4/02/2021,9153
Baldivis,5/02/2021,13243
Baldivis,6/02/2021,9076
Baldivis,7/02/2021,12287
Baldivis,8/02/2021,11936
Baldivis,9/02/2021,12336
Baldivis,10/02/2021,13059
Baldivis,11/02/2021,13254
Baldivis,12/02/2021,13521
Baldivis,13/02/2021,8868
Baldivis,14/02/2021,11646
Baldivis,15/02/2021,11587
Baldivis,16/02/2021,11971
Baldivis,17/02/2021,13105
Baldivis,18/02/2021,12791
Baldivis,19/02/2021,12207
Baldivis,20/02/2021,8278
Baldivis,21/02/2021,11765
Baldivis,22/02/2021,11642
Baldivis,23/02/2021,11887
Baldivis,24/02/2021,13102
Baldivis,25/02/2021,12980
Baldivis,26/02/2021,12091
Baldivis,27/02/2021,7266
Baldivis,28/02/2021,9155
Baldivis,1/03/2021,12137
Baldivis,2/03/2021,12156
Baldivis,3/03/2021,13315
Baldivis,4/03/2021,12941
Baldivis,5/03/2021,12454
Baldivis,6/03/2021,8233
Baldivis,7/03/2021,11915
Baldivis,8/03/2021,11830
Baldivis,9/03/2021,12154
Baldivis,10/03/2021,13055
Baldivis,11/03/2021,13327
Baldivis,12/03/2021,12282
Baldivis,13/03/2021,8071
Baldivis,14/03/2021,11961
Baldivis,15/03/2021,11911
Baldivis,16/03/2021,12460
Baldivis,17/03/2021,13451
Baldivis,18/03/2021,13008
Baldivis,19/03/2021,12631
Baldivis,20/03/2021,8428
Baldivis,21/03/2021,12246
Baldivis,22/03/2021,11808
Baldivis,23/03/2021,12446
Baldivis,24/03/2021,13221
Baldivis,25/03/2021,13338
Baldivis,26/03/2021,12532
Baldivis,27/03/2021,8059
Baldivis,28/03/2021,12309
Baldivis,29/03/2021,12424
Baldivis,30/03/2021,13541
Baldivis,31/03/2021,17389
Baldivis,1/04/2021,9
Baldivis,2/04/2021,14501
Baldivis,3/04/2021,6168
Baldivis,4/04/2021,8792
