Asset,Date,Min temperature,Max temperature,Solar exposure,Rainfall ,Raining period
Baldivis,1/01/2021,19.9,30,30.7,0,
Baldivis,2/01/2021,19.5,32.6,30.2,0,
Baldivis,3/01/2021,18,32,24.3,0,
Baldivis,4/01/2021,17.3,32.7,30.9,0,
Baldivis,5/01/2021,18.2,34.2,30.8,0,
Baldivis,6/01/2021,20.2,35.6,30.7,0,
Baldivis,7/01/2021,20.3,36.2,29.7,0,
Baldivis,8/01/2021,17.7,39.5,30.5,0,
Baldivis,9/01/2021,22.5,29.4,25.7,0,
Baldivis,10/01/2021,21.1,23.9,26.3,0,
Baldivis,11/01/2021,17.3,25.6,30.4,0,
Baldivis,12/01/2021,18.1,23.9,27,0,
Baldivis,13/01/2021,16.7,29.7,29.9,0,
Baldivis,14/01/2021,16.6,34.1,30,0,
Baldivis,15/01/2021,17.2,33.3,30,0,
Baldivis,16/01/2021,18.4,33.2,29.9,0,
Baldivis,17/01/2021,20.1,36.9,29.8,0,
Baldivis,18/01/2021,24.3,35.2,27.5,0,
Baldivis,19/01/2021,23.6,29.4,25.7,0,
Baldivis,20/01/2021,22.4,27.4,27.5,0,
Baldivis,21/01/2021,22,27.8,29.6,0,
Baldivis,22/01/2021,20.7,28.8,29.4,0,
Baldivis,23/01/2021,19.1,24.2,28.8,0,
Baldivis,24/01/2021,18,26.3,23.4,0,
Baldivis,25/01/2021,18.7,25,28.5,0,
Baldivis,26/01/2021,17.3,23.8,27.4,0,
Baldivis,27/01/2021,17.2,23,24.5,0,
Baldivis,28/01/2021,16,28.2,28.9,0,
Baldivis,29/01/2021,18.7,34.4,28.8,0,
Baldivis,30/01/2021,19.2,34.7,28.6,0,
Baldivis,31/01/2021,19.7,30.7,28.5,0,
Baldivis,1/02/2021,20.2,36.8,28.6,0,
Baldivis,2/02/2021,22.3,33.8,24.3,0,
Baldivis,3/02/2021,19.1,27.7,27.5,0,
Baldivis,4/02/2021,15.3,27.9,28.3,0,
Baldivis,5/02/2021,15.6,28.7,25.8,0,
Baldivis,6/02/2021,17.9,19.4,0.8,0,
Baldivis,7/02/2021,16.5,21.6,3.9,35.4,1
Baldivis,8/02/2021,17.1,22.7,21.9,15.4,1
Baldivis,9/02/2021,16.5,24.7,23.1,0.6,1
Baldivis,10/02/2021,16.9,20.7,25.4,1.4,1
Baldivis,11/02/2021,15.2,21.1,27.7,0,
Baldivis,12/02/2021,14.8,25.1,27.7,0,
Baldivis,13/02/2021,17.3,28.1,27.5,0,
Baldivis,14/02/2021,21.6,34.9,18.6,0,
Baldivis,15/02/2021,20.1,27.4,26.1,0,
Baldivis,16/02/2021,21.6,23.7,26.8,0,
Baldivis,17/02/2021,20.7,24.1,23.3,0,
Baldivis,18/02/2021,18.3,21,23.9,0,
Baldivis,19/02/2021,14,21.2,26.6,0,
Baldivis,20/02/2021,17.3,23.7,26.5,0,
Baldivis,21/02/2021,18.7,25.5,26.4,0,
Baldivis,22/02/2021,18.9,31.7,26.1,0,
Baldivis,23/02/2021,21.9,33,26,0,
Baldivis,24/02/2021,21.1,25.6,25.9,0,
Baldivis,25/02/2021,18.7,24,25.5,0,
Baldivis,26/02/2021,19.6,28,22.7,0,
Baldivis,27/02/2021,17.6,28.4,24.5,0,
Baldivis,28/02/2021,19.3,28.9,18.6,0,
Baldivis,1/03/2021,16.9,21.8,2.7,0,
Baldivis,2/03/2021,17.1,31.2,22.8,,
Baldivis,3/03/2021,20.7,26.9,8.2,19,2
Baldivis,4/03/2021,21.2,26,13.1,7.6,1
Baldivis,5/03/2021,21.6,25.4,15.7,2,1
Baldivis,6/03/2021,21.2,24.2,14,0,
Baldivis,7/03/2021,19.7,27.1,23.6,0,
Baldivis,8/03/2021,20.3,29.8,15.8,0,
Baldivis,9/03/2021,21.6,34,22.9,0,
Baldivis,10/03/2021,24.4,27.7,12.3,0,
Baldivis,11/03/2021,22.1,25.4,11.6,0,
Baldivis,12/03/2021,20.2,24.7,15.1,0,
Baldivis,13/03/2021,15.2,26.2,23.2,0,
Baldivis,14/03/2021,15.1,28.3,23,0,
Baldivis,15/03/2021,18.9,29.8,20.6,0,
Baldivis,16/03/2021,21,33.7,18.7,0,
Baldivis,17/03/2021,17.8,24.5,22.4,0,
Baldivis,18/03/2021,20.5,28.3,22.2,0,
Baldivis,19/03/2021,21,36.9,18.7,0,
Baldivis,20/03/2021,16.4,35.3,20.1,0,
